Meta1,Meta2,Meta3,Meta4
Value1,Value2,Value3,Value4
Time,Displacement,Force
(s),(mm),(N)
0.0000,0.0000,0.0000
0.1000,0.0100,0.5000
0.2000,0.0200,1.2000
0.3000,0.0300,2.1000
0.4000,0.0400,3.2000
0.5000,0.0500,4.5000
0.6000,0.0600,6.0000
0.7000,0.0700,7.8000
0.8000,0.0800,9.9000
0.9000,0.0900,12.3000
1.0000,0.1000,15.0000
1.1000,0.1100,18.0000
1.2000,0.1200,21.5000
1.3000,0.1300,25.5000
1.4000,0.1400,30.0000
1.5000,0.1500,35.0000
1.6000,0.1600,40.5000
1.7000,0.1700,46.5000
1.8000,0.1800,53.0000
1.9000,0.1900,60.0000
2.0000,0.2000,67.5000
